팀번호,팀이름,팀유형,주차,출결률,과제제출률,발표참여도,휴대폰매너,안전수칙준수율,그라운드룰준수,텀블러사용률,에어컨전등관리,잔반량(g),잔반점수,G소계,S소계,E소계,종합점수,등급
12,미국,개선필요,3,52.1,62.2,48.0,80,80,70,53.2,48.8,184.4,7.8,54.1,76.7,36.6,55.8,E
12,미국,개선필요,4,67.5,59.4,71.7,70,70,80,66.1,38.9,196.7,1.7,66.2,73.3,35.6,58.4,E
13,멕시코,우수,1,95.2,92.6,99.2,100,100,90,91.7,94.3,58.3,70.8,95.7,96.7,85.6,92.7,A
13,멕시코,우수,2,94.6,88.7,99.4,100,90,100,93.1,91.1,51.4,74.3,94.2,96.7,86.2,92.4,A
13,멕시코,우수,3,89.0,83.4,100.0,100,100,100,99.9,94.5,39.9,80.1,90.8,100.0,91.5,94.1,A
13,멕시코,우수,4,91.7,87.9,97.2,80,100,90,93.9,89.8,65.1,67.5,92.3,90.0,83.7,88.7,B
14,캐나다,평균,1,78.7,79.9,78.6,80,80,70,78.3,71.0,86.4,56.8,79.1,76.7,68.7,74.8,C
14,캐나다,평균,2,89.0,63.9,66.5,100,90,90,63.7,69.8,101.1,49.5,73.2,93.3,61.0,75.8,C
14,캐나다,평균,3,68.8,78.6,74.9,60,100,80,82.4,78.4,131.7,34.2,74.1,80.0,65.0,73.0,C
14,캐나다,평균,4,75.6,68.4,69.5,90,80,80,59.6,75.4,150.1,24.9,71.2,83.3,53.3,69.3,D
15,모로코,평균,1,83.3,77.5,74.2,100,80,100,77.3,72.2,71.0,64.5,78.3,93.3,71.3,81.0,B
15,모로코,평균,2,81.1,68.4,68.9,100,100,100,76.4,70.8,126.0,37.0,72.8,100.0,61.4,78.1,C
15,모로코,평균,3,72.7,71.7,72.2,90,90,90,72.0,71.7,119.0,40.5,72.2,90.0,61.4,74.5,C
15,모로코,평균,4,78.3,84.2,73.5,80,90,90,68.4,64.1,44.3,77.8,78.7,86.7,70.1,78.5,C
16,크로아티아,평균,1,70.0,81.3,70.3,90,80,100,70.4,78.1,100.3,49.9,73.9,90.0,66.1,76.7,C
16,크로아티아,평균,2,68.9,63.7,84.4,90,80,80,72.7,71.9,57.5,71.2,72.4,83.3,71.9,75.9,C
16,크로아티아,평균,3,71.1,50.0,72.5,90,50,90,76.7,71.0,95.6,52.2,64.5,76.7,66.6,69.3,D
16,크로아티아,평균,4,69.6,70.6,93.0,70,50,90,76.0,80.7,62.4,68.8,77.7,70.0,75.2,74.3,C
17,호주,개선필요,1,56.8,49.3,60.5,60,100,50,58.7,65.9,194.0,3.0,55.5,70.0,42.6,56.0,E
17,호주,개선필요,2,56.3,47.2,54.8,60,80,30,57.7,54.5,136.4,31.8,52.8,56.7,48.0,52.5,E
17,호주,개선필요,3,54.4,34.4,50.5,80,60,60,57.5,51.6,153.8,23.1,46.4,66.7,44.1,52.4,E
17,호주,개선필요,4,56.2,53.2,61.6,70,70,50,54.0,61.0,207.5,0.0,57.0,63.3,38.3,52.9,E
18,스위스,평균,1,66.1,65.7,86.6,100,100,100,70.1,68.4,146.1,27.0,72.8,100.0,55.1,76.0,C
18,스위스,평균,2,72.8,70.4,79.6,60,60,100,82.1,68.9,100.9,49.6,74.3,73.3,66.8,71.5,C
18,스위스,평균,3,72.8,75.8,66.2,90,100,80,93.2,69.9,92.8,53.6,71.6,90.0,72.2,77.9,C
18,스위스,평균,4,74.5,70.4,90.3,90,80,90,77.4,66.1,128.3,35.9,78.4,86.7,59.8,75.0,C
